Designator,Footprint,Quantity,Value,LCSC Part #
"ADC1, ADC2, ADC3",WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,3,ADS131M02IRUKR,
"C1, C2, C23, C25, C27, C28, C3",0603,7,100nF,C14663
"C10, C11, C12, C7, C8, C9",0603,6,10nF,C57112
"C13, C14, C15, C19, C20, C21, C24, C26",0603,8,1uF,C15849
"C16, C17, C18",0603,3,220nF,C21120
"C29, C30, C4, C5, C6",0603,5,10uF,C19702
"R1, R10, R11, R12, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0603,14,1k,C21190
R13,0603,1,100k,C25803
"R14, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34",0603,17,10k,C25804
"R17, R18",0603,2,4.7k,C23162
SW1,SW_Push_SPST_NO_Alps_SKRK,1,C720477,
U5,Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,1,TCA9548AMRGER,
U6,TSSOP-24_4.4x7.8mm_P0.65mm,1,PCA9555PW,
