Designator,Mid X,Mid Y,Rotation,Layer
C1,93.925,-146.475,0.0,top
C10,71.55,-118.860001,270.0,top
C11,71.5,-137.0,270.0,top
C12,71.55,-146.0,270.0,top
C13,80.8,-137.5,270.0,top
C14,74.5,-110.6,270.0,top
C15,74.6,-137.625,270.0,top
C16,76.6,-144.5,180.0,top
C17,77.5,-110.625,90.0,top
C18,77.6,-137.625,90.0,top
C19,85.5,-143.0,270.0,top
C2,70.25,-127.825,90.0,top
C20,76.0,-110.625,90.0,top
C21,76.1,-137.3,90.0,top
C23,92.775,-77.9,180.0,top
C24,92.775,-79.4,180.0,top
C25,105.7,-78.425,90.0,top
C26,107.2,-78.425,90.0,top
C27,98.275,-131.85,180.0,top
C28,98.3,-137.9,180.0,top
C29,98.275,-130.3,180.0,top
C3,71.899999,-154.745711,270.0,top
C30,98.3,-136.4,180.0,top
C4,93.925,-148.0,0.0,top
C5,71.75,-127.825,90.0,top
C6,70.4,-154.745711,270.0,top
C7,77.75,-146.65,0.0,top
C8,86.75,-146.65,0.0,top
C9,71.5,-109.86,270.0,top
H1,64.75,-64.5,0.0,top
H2,108.0,-64.5,0.0,top
H3,78.75,-129.25,0.0,top
R1,80.25,-147.425,90.0,top
R10,70.766983,-134.5,0.0,top
R11,70.8,-148.5,0.0,top
R12,70.8,-143.5,0.0,top
R13,88.1,-74.9,135.0,top
R14,87.5,-77.7,180.0,top
R15,93.39099,-62.075,270.0,top
R16,91.81066,-62.075,270.0,top
R17,98.35,-103.95,0.0,top
R18,98.35,-102.4,0.0,top
R19,98.325,-141.1,0.0,top
R2,75.25,-147.425,90.0,top
R20,98.375,-114.2,0.0,top
R21,98.375,-128.3,0.0,top
R22,97.325,-146.5,0.0,top
R23,98.325,-139.6,0.0,top
R24,98.375,-112.7,0.0,top
R25,98.4,-126.625,0.0,top
R26,97.325,-148.0,0.0,top
R27,98.375,-121.7,0.0,top
R28,98.35,-108.9,0.0,top
R29,98.325,-134.9,0.0,top
R3,89.25,-147.425,90.0,top
R30,98.3,-142.6,0.0,top
R31,98.375,-120.15,0.0,top
R32,98.35,-107.4,0.0,top
R33,98.325,-133.4,0.0,top
R34,98.275,-144.1,0.0,top
R4,84.25,-147.425,90.0,top
R5,70.7125,-112.25,0.0,top
R6,70.8,-107.45,0.0,top
R7,70.75,-121.25,0.0,top
R8,70.8,-116.4,0.0,top
R9,70.75,-139.5,0.0,top
SW1,100.7,-64.2,270.0,top
U1,82.2,-142.5,90.0,top
U2,75.75,-114.325,0.0,top
U3,75.7875,-141.45,0.0,top
U5,106.5625,-84.0,0.0,top
U6,86.38,-83.212499,270.0,top
